the,[ðə],то;определенный артикль
under,[ˈʌndə(r)],под;по
world,[wɜːld],мир;мировой
behind,[bɪˈhaɪnd],за;позади
fall,[fɔːl],падать;падение
hold,[həʊld],держать
year,[jɪə(r)],год
word,[wɜːd],слово;известие;текстовый
run,[rʌn],бежать;запускать;работать;достигать;прогон
bond,[bɒnd],связь;подписывать обязательство;обязательство;облигация;закладная
mind,[maɪnd],ум;одуш)возражать;слушаться;обращать внимание;мнение
every,[ˈevri],каждый
without,[wɪˈðaʊt],без;не
dark,[dɑːk],темный
far,[fɑː(r)],далеко;значительно;дальний
new,[njuː],новый;вновь
foot,[fʊt],нога;фут
walk,[wɔːk],идти;проходить
yet,[jet],пока;все еще
end,[end],конец;заканчивать;конечный;авто)торцевой
side,[saɪd],сторона;боковой
moment,[ˈməʊmənt],момент
talk,[tɔːk],говорить;поговорить;уговаривать;разговор
black,[blæk],черный
always,[ˈɔːlweɪz],всегда
pass,[pɑːs],передавать;проходить;проход
friend,[frend],друг;дружественный
close,[kləʊz],закрывать;закрытый;близкий
three,[θriː],три;трех
life,[laɪf],жизнь;срок службы
near,[nɪə(r)],рядом;около;близкий;почти
watch,[wɒtʃ],часы;наблюдать;следить;дозор
oh,[əʊ],ох
miss,[mɪs],мисс
move,[muːv],двигаться;перемещать;перемещение
toward,[təˈwɔːdz],к;по отношению к
course,[kɔːs],курс;ход
better,[ˈbetə(r)],лучше;лучший
enough,[ɪˈnʌf],достаточно;достаточный
stop,[stɒp],остановка;останавливать;переставать;прекращаться;стоповый
bring,[brɪŋ],приносить;переносить;приводить
anything,[ˈeniθɪŋ],что-либо;что-нибудь
cry,[kraɪ],плакать;кричать;крик
name,[neɪm],имя;называть
same,[seɪm],такой же;тот же
point,[pɔɪnt],точка;указывать
hard,[hɑːd],жесткий;трудно;упорно;твердо
quite,[kwaɪt],довольно;совсем
arm,[ɑːm],рука;вооружаться;рычаг
sure,[ʃʊə(r)],конечно;несомненно;уверенный;убедитесь
sir,[sɜː(r)],сэр
half,[hɑːf],половина;наполовину
sound,[saʊnd],звук;звучать;надежный;инф)звуковой
love,[lʌv],любовь;любить
few,[fjuː],мало;несколько;некоторый
air,[eə(r)],воздух;проветривать;эфир;вид;воздушный
dear,[dɪə(r)],дорогой
soon,[suːn],скоро
part,[pɑːt],часть;разделять
help,[help],помощь;помогать;инф)подсказка
against,[əˈɡenst],против
return,[rɪˈtɜːn],возвращать;обратный;возврат
wait,[weɪt],ждать;ожидать;ожидание
wall,[wɔːl],стена
round,[raʊnd],круглый;округлять;круг
answer,[ˈɑːnsə(r)],ответ
woman,[ˈwʊmən],женщина;женский
follow,[ˈfɒləʊ],следовать
high,[haɪ],высокий;высоко;уровень
window,[ˈwɪndəʊ],окно
young,[jʌŋ],молодой
until,[ənˈtɪl],до;пока
show,[ʃəʊ],показывать;показ
father,[ˈfɑːðə(r)],отец;отцовский
sudden,[ˈsʌdn],внезапный
myself,[maɪˈself],сам;сам себя;себя самого;я
happen,[ˈhæpən],случаться
along,[əˈlɒŋ],вдоль
both,[bəʊθ],оба
kind,[kaɪnd],добрый;тип;любезный
lord,[lɔːd],лорд
white,[waɪt],белый
break,[breɪk],перерыв;ломать;инф)прерывать;прерывание
next,[nekst],следующий;затем;другой
child,[tʃaɪld],ребенок
boy,[bɔɪ],мальчик
lie,[laɪ],ложь;лежать;лгать
dead,[ded],мертвый
since,[sɪns],с;поскольку;с тех пор как;с тех пор
certain,[ˈsɜːtn],определенный;уверенный;;несомненно
water,[ˈwɔːtə(r)],вода;поливать;водный
heart,[hɑːt],сердце;основа;сердечный
set,[set],набор;устанавливать;комплект;инф)установка
small,[smɔːl],маленький;небольшой
wish,[wɪʃ],желание;хотеть
star,[stɑː(r)],звезда;звездный
start,[stɑːt],начинать;запускать;начало;стартовый
slow,[sləʊ],медленный;замедлять
home,[həʊm],дом;домашний;домой
hour,[ˈaʊə(r)],час;часовой
girl,[ɡɜːl],девочка;девушка
between,[bɪˈtwiːn],между
remember,[rɪˈmembə(r)],помнить
almost,[ˈɔːlməʊst],почти
become,[bɪˈkʌm],становиться
mother,[ˈmʌðə(r)],мать;материнский
deep,[diːp],глубокий;глубже
tree,[triː],дерево
whole,[həʊl],весь;целый
lady,[ˈleɪdi],леди;дама;дамский
meet,[miːt],встречать;соответствовать;удовлетворять;выполнять
believe,[bɪˈliːv],верить
sleep,[sliːp],спать;сон
smile,[smaɪl],улыбка;улыбаться
wonder,[ˈwʌndə(r)],удивляться;удивление;чудо
table,[ˈteɪbl],стол;инф)таблица;табличный
stone,[stəʊn],камень;облицовывать;каменный
fire,[ˈfaɪə(r)],огонь;сжигать;стрелять;пожар;обстрел;пожарный
street,[striːt],улица;уличный
reach,[riːtʃ],достигать
each,[iːtʃ],каждый
morning,[ˈmɔːnɪŋ],утро;утром
rest,[rest],отдых;ставить;отдыхать;лежать;остальной
grow,[ɡrəʊ],расти;выращивать;расти
quick,[kwɪk],быстрый;быстро
shake,[ʃeɪk],трясти;шейк
hope,[həʊp],надеяться;надежда
across,[əˈkrɒs],через
bear,[beə(r)],медведь;нести;перевозить;выдерживать
land,[lænd],земля;сажать;посадить;приземляться;страна
rise,[raɪz],рост;повышать;подниматься;повышение
clear,[klɪə(r)],очищать;очистка;ясный;ясно
large,[lɑːdʒ],большой
perhaps,[pəˈhæps],возможно
draw,[drɔː],рисовать;делать;граф)рисовать;экон)получать;вытаскивать
book,[bʊk],книга;заказывать;книжный
read,[riːd],читать;чтение
bite,[baɪt],кусать;укус
else,[els],иначе;еще
matter,[ˈmætə(r)],дело;материал
fear,[fɪə(r)],страх;бояться
ground,[ɡraʊnd],земля;заземлять;земля;заземление
minute,[ˈmɪnɪt],минута;подробный;минутный
second,[ˈsekənd],секунда;второй;во-вторых
strange,[streɪndʒ],странный;странно
win,[wɪn],победить;завоевывать;выигрывать;выигрыш
sort,[sɔːt],сортировать;сортировка;тип
together,[təˈɡeðə(r)],вместе
lose,[luːz],терять;проигрывать;потеря
laugh,[lɑːf],смеяться;смех
indeed,[ɪnˈdiːd],действительно;на самом деле
hair,[heə(r)],волосы;волосяной
suppose,[səˈpəʊz],предполагать;полагать;допустим
understand,[ˌʌndəˈstænd],понимать
poor,[pɔː(r)],бедный
lead,[liːd],вести;лидировать;свинец;)лидерство;элек)вывод;ход;свинцовй
send,[send],посылать
master,[ˈmɑːstə(r)],овладевать;мастер;эталон;основной
above,[əˈbʌv],выше;вышеуказанное
catch,[kætʃ],ловить;поймать
body,[ˈbɒdi],воплощать;тело;организация;орган
road,[rəʊd],дорога;дорожный
present,[ˈpreznt],представлять;обеспечивать;присутствовать;настоящее;настоящий;современный
everything,[ˈevriθɪŋ],все;весь
full,[fʊl],полный;полностью
case,[keɪs],дело;случай;ящик;падеж;в таком случае
herself,[hɜːˈself],сама;себя;она
pull,[pʊl],тянуть
best,[best],лучший;наилучшим образом;наилучший
aunt,[ɑːnt],тетя
cold,[kəʊld],холод;холодный
doctor,[ˈdɒktə(r)],врач;доктор
city,[ˈsɪti],город;городской
death,[deθ],смерть;смертельный
dream,[driːm],мечтать;мечта
front,[frʌnt],передний;передний план
rather,[ˈrɑːðə(r)],скорее;довольно;предпочтительно
easy,[ˈiːzi],легкий;легко
finger,[ˈfɪŋɡə(r)],палец;показывать
professor,[prəˈfesə(r)],профессор
would,[wʊd],бы;быть;должен;если бы;хотеть
quiet,[ˈkwaɪət],тихий;успокаивать;тишина
floor,[flɔː(r)],пол;зал;этаж
appear,[əˈpɪə(r)],появляться;появление;оказывается;оказалось
listen,[ˈlɪsn],слушать
forget,[fəˈɡet],забывать
also,[ˈɔːlsəʊ],также
among,[əˈmʌŋ],среди
least,[liːst],наименее;наименьший
question,[ˈkwestʃən],вопрос;спрашивать;вопросный
throw,[θrəʊ],бросать
shadow,[ˈʃædəʊ],тень;теневой
beyond,[bɪˈjɒnd],за
big,[bɪɡ],большой;больше
mountain,[ˈmaʊntən],гора;горный
already,[ɔːlˈredi],уже
beside,[bɪˈsaɪd],рядом;рядом с
power,[ˈpaʊə(r)],мощность;право;перс)полномочие;силовой
mouth,[maʊθ],рот;отверстие;устье
kill,[kɪl],убивать;уничтожать
lot,[lɒt],партия;масса;участок;много
wind,[wɪnd],ветер;заводить;мотать;извиваться;оборот
less,[les],менее;меньший;меньше
whose,[huːz],чей;который
die,[daɪ],умирать
past,[pɑːst],прошлое;прошлый
use,[juːz],использовать;использование
play,[pleɪ],играть;игра;пьеса
alone,[əˈləʊn],только;один
letter,[ˈletə(r)],письмо
write,[raɪt],писать;инф)записывать;запись
interest,[ˈɪntrəst],интерес;интересовать;доля;участие;процент
please,[pliːz],пожалуйста
stay,[steɪ],оставаться;пребывание
however,[haʊˈevə(r)],однако;тем не менее
god,[ɡɒd],бог
form,[fɔːm],форма;формировать
heavy,[ˈhevi],тяжелый
forward,[ˈfɔːwəd],вперед;пересылать;форвард;форвардный;дальше
order,[ˈɔːdə(r)],заказ;приказ
whisper,[ˈwɪspə(r)],шепот;шептать
drink,[drɪŋk],пить;напиток
idea,[aɪˈdɪə],идея
tom,[tɒm],том
family,[ˈfæməli],семья;семейство;семейный
short,[ʃɔːt],короткий;шунтировать;перемычка
sam,[sæm],сэм
live,[lɪv],жить;живой
human,[ˈhjuːmən],человек;человеческий
hide,[haɪd],прятать;шкура
carry,[ˈkæri],нести;отправлять;перенос
trouble,[ˈtrʌbl],беда;беспокоить;проблема
four,[fɔː(r)],четыре;четырех
five,[faɪv],пять;пяти
eat,[iːt],есть
secret,[ˈsiːkrət],секрет;секретный
strong,[strɒŋ],сильный;прочный
till,[tɪl],до
bad,[bæd],плохой;плохо
top,[tɒp],вершина;завершать;верх;верхний
step,[step],шаг;вести;входить;мера
touch,[tʌtʃ],трогать;касаться;прикосновение;налет;сенсорный
shoulder,[ˈʃəʊldə(r)],плечо;взваливать на плечи
thank,[θæŋk],благодарить
glass,[ɡlɑːs],стекло;стакан;стеклянный
low,[ləʊ],низкий;снижать;низкий уровень;низко
notice,[ˈnəʊtɪs],замечать;обращать внимание;докм)уведомление
true,[truː],верно;истиный;истинность
tear,[teə(r)],рвать;слеза
hill,[hɪl],холм
wear,[weə(r)],носить;изнашивать;износ
outside,[ˌaʊtˈsaɪd],снаружи;за пределами;внешний
happy,[ˈhæpi],счастливый
breath,[breθ],дыхание;вздох
wood,[wʊd],древесина;дерево (лес);древесный
drop,[drɒp],бросать;падать;капля;падение
green,[ɡriːn],зеленый
line,[laɪn],линия;инф)строка
later,[ˈleɪtə(r)],позже;последующий
sight,[saɪt],взгляд;зрение
son,[sʌn],сын;порожденный;дочерний
inside,[ˌɪnˈsaɪd],внутри;в;внутрь;внутренность;внутренний
fact,[fækt],факт
expect,[ɪkˈspekt],ожидать
general,[ˈdʒenrəl],генерал;общее;общий
paper,[ˈpeɪpə(r)],бумага;граф)статья;бумажный
hang,[hæŋ],вешать;зависать;зависание
hall,[hɔːl],холл
chair,[tʃeə(r)],стул;кафедра
learn,[lɜːn],учиться;узнавать
someone,[ˈsʌmwʌn],кто-то;кто-нибудь
gold,[ɡəʊld],золото;золотой
possible,[ˈpɒsəbl],возможный;возможно
business,[ˈbɪznəs],бизнес;дело(бизнес);деловой
nor,[nɔː(r)],ни
doubt,[daʊt],сомневаться;сомнение
ear,[ɪə(r)],ухо;слух;колос;слуховой
leg,[leɡ],нога;ветвь
cut,[kʌt],резать;удалять;гранить;снижение;порез;кусок
money,[ˈmʌni],деньги;финансовый
raise,[reɪz],поднимать;возводить
corner,[ˈkɔːnə(r)],угол;поставить в безвыходное положение
hundred,[ˈhʌndrəd],сто;сотня
remain,[rɪˈmeɪn],оставаться
figure,[ˈfɪɡə(r)],фигура;считать;инф)цифра
wide,[waɪd],широкий
sun,[sʌn],солнце;солнечный
late,[leɪt],поздно;последний;конец
silent,[ˈsaɪlənt],тихий;инф)отключенный
ready,[ˈredi],готовый
silence,[ˈsaɪləns],тишина;заглушать
soft,[sɒft],мягкий;мягко
bloom,[bluːm],цветение;расцветать;расцвет
build,[bɪld],строить;инф)формировать
surprise,[səˈpraɪz],удивлять;сюрприз;неожиданный
week,[wiːk],неделя;недельный
earth,[ɜːθ],земля;заземление;земной
sea,[siː],море;морской
shout,[ʃaʊt],кричать;крик
drive,[draɪv],водить;управлять;запускать;загонять;ездить;проехать;проезд;инф)накопитель;энергия
pretty,[ˈprɪti],симпатичный;изрядно;красивый
free,[friː],свободно;бесплатно;освобождать;свободный
river,[ˈrɪvə(r)],река;речной
sky,[skaɪ],небо;небесный
ten,[ten],десять;десяти
often,[ˈɒfn],часто
either,[ˈaɪðə(r)],или;также;любой
sense,[sens],чувствовать;значение;чувство
fight,[faɪt],драться;с;борьба
shut,[ʃʌt],закрывать
guard,[ɡɑːd],сторожить;охранять;охрана
hat,[hæt],шляпа
care,[keə(r)],забота;интересовать
sometime,[ˈsʌm.taɪm],когда-то;где-то
rock,[rɒk],скала;качаться
age,[eɪdʒ],возраст;стареть;век;возрастной
whether,[ˈweðə(r)],ли;независимо
fly,[flaɪ],летать;запускать;поднимать;полет;муха;ширинка
pick,[pɪk],выбирать;указка
reason,[ˈriːzn],причина
brother,[ˈbrʌðə(r)],брат;родственный
gate,[ɡeɪt],ворота;пропускать
probable,[ˈprɒbəbl],вероятный;вероятно
enter,[ˈentə(r)],ввод; вводить;вход; входить
within,[wɪˈðɪn],в пределах;в течение
school,[skuːl],школа;школьный
add,[æd],добавлять;дополнение
none,[nʌn],никто;ничто;никакой
sign,[saɪn],знак;подписывать;конт)подпись;признак
pocket,[ˈpɒkɪt],карман;карманный
whom,[huːm],кому;кто;который
cover,[ˈkʌvə(r)],покрытие;покрывать;защищать;кожух;обложка
ago,[əˈɡəʊ],тому назад
save,[seɪv],сохранять;спасать;охранять;защищать;ограждать;беречь;экономить
blow,[bləʊ],дуть;удар
change,[tʃeɪndʒ],изменять;изменение;отличие;отличаться
town,[taʊn],город
yourself,[jɔːˈself],себя;сами
glance,[ɡlɑːns],взгляд
able,[ˈeɪbl],способный
strike,[straɪk],ударять;нажимать;забастовка
lay,[leɪ],класть;лежать
story,[ˈstɔːri],история;рассказ;повесть;этаж
usual,[ˈjuːʒuəl],обычный;обычно
edge,[edʒ],край;изменять;ребро;краевой
force,[fɔːs],сила;заставлять;усилие;принудительный
manner,[ˈmænə(r)],манера;способ
different,[ˈdɪfrənt],другой;отличный;различный
pay,[peɪ],платить;обращать;оплата
themself,[-],себя;сам
except,[ɪkˈsept],кроме;за исключением того
maybe,[ˈmeɪbi],может быть
roll,[rəʊl],рулон;прокручивать;мех)прокатывать;переворачивать;инф)перематывать;реестр;мех)ролик
elf,[elf],эльф
wizard,[ˈwɪz.əd],волшебник;колдун
dress,[dres],одевать;платье
horse,[hɔːs],лошадь
afraid,[əˈfreɪd],испуганный
bright,[braɪt],яркий;блестящий
car,[kɑː(r)],машина;автомобиль;автомобильный
state,[steɪt],штат;государственный
uncle,[ˈʌŋkl],дядя
careful,[ˈkeəfl],осторожный;тщательный
witch,[wɪtʃ],ведьма
bend,[bend],сгибать;изгибать;гнуть;поворот
person,[ˈpɜːsn],человек
dragon,[ˈdræɡ.ən],дракон
final,[ˈfaɪnl],финал;конечный
anyone,[ˈeniwʌn],каждый;любой
sister,[ˈsɪstə(r)],сестра;однотипный
creature,[ˈkriːtʃə(r)],творение
chance,[tʃɑːns],случаться;шанс;случайный
loud,[laʊd],громкий;шумный
cross,[krɒs],пересекать;докм)разминуться;пересечение;перекрестный
below,[bɪˈləʊ],ниже
itself,[ɪtˈself],мсам;себя;непосредственно;он
ship,[ʃɪp],транс)отправлять;инф)загружать;судно;астр)корабль
glad,[ɡlæd],радый
shape,[ʃeɪp],формировать;форма
number,[ˈnʌmbə(r)],перечислять;число;номер;количество
thousand,[ˈθaʊznd],тысяча;тысячный
wake,[weɪk],будить;просыпаться
fine,[faɪn],очищать;экон)штрафовать;пеня;штраф;тонкий;отлично
fill,[fɪl],заполнять;наполнитель
box,[bɒks],боксировать;ящик;бокс;инф)блок
wrong,[rɒŋ],неправильно;неправильный
daemon,[-],демон
stick,[stɪk],втыкать;приклеивать;торчать;палка
lip,[lɪp],губа
seat,[siːt],усаживать;место
grey,[ɡreɪ],серый
hurry,[ˈhʌri],спешить;спешка
shoot,[ʃuːt],стрелять;фото)снимать
alice,[ˈæl.ɪs.bænd],элис
wild,[waɪld],дикий
fellow,[ˈfeləʊ],парень
country,[ˈkʌntri],страна;муз)кантри
deal,[diːl],иметь дело;сделка
plan,[plæn],план
mark,[mɑːk],выделять;маркировать;обозначать;отметка;маркер;марк;экон)марка
safe,[seɪf],сейф;безопасный
simple,[ˈsɪmpl],простой
several,[ˈsevrəl],различный
climb,[klaɪm],подниматься
blue,[bluː],синий
dog,[dɒɡ],собака;собачий
john,[ˈdʒɒn],джон;артс)иоанн
slight,[slaɪt],легкий;незначительный
piece,[piːs],часть;кусок
terrible,[ˈterəbl],страшный
memory,[ˈmeməri],память;воспоминания
bank,[bæŋk],экон)банк;банковский
clock,[klɒk],синхронизировать;часы
knife,[naɪf],нож
fair,[feə(r)],ярмарка;выставка;честный;светлый;справедливо
tower,[ˈtaʊə(r)],возвышаться;башня
exact,[ɪɡˈzækt],точный
smoke,[sməʊk],курить;дымить;дым
sorry,[ˈsɒri],огорченный
crowd,[kraʊd],собираться;толпа
picture,[ˈpɪktʃə(r)],изображать;изображение;артс)картина;фото)снимок;картинный
wave,[weɪv],отклонять;махать;волна;волновой
chapter,[ˈtʃæptə(r)],глава;отделение
company,[ˈkʌmpəni],компания;воен)рота
north,[nɔːθ],север;северный
ride,[raɪd],ездить;ехать;поездка
burn,[bɜːn],жечь;гореть;обжигать;ожог
blood,[blʌd],кровь;кровяной
everyone,[ˈevriwʌn],весь
fast,[fɑːst],быстро;быстрый
space,[speɪs],пространство;инф)пробел;космический
spring,[sprɪŋ],прыгать;весна;мех)авто)пружина;прыжок;весенний
lock,[lɒk],запирать;замок;инф)блокировка
warn,[wɔːn],предупреждать
count,[kaʊnt],считать;счет
empty,[ˈempti],пустой
merry,[ˈmer.i],веселый
guess,[ɡes],догадываться;догадка
nod,[nɒd],кивать;кивок
cloud,[klaʊd],затемнять;облако
curious,[ˈkjʊəriəs],любопытно;любопытный
spirit,[ˈspɪrɪt],дух
gentleman,[ˈdʒentlmən],джентльмен
wife,[waɪf],жена
captain,[ˈkæptɪn],капитан;капитанский
mine,[maɪn],геол)шахта;воор)мина;мой
lift,[lɪft],поднимать;лифт
slip,[slɪp],надевать;скользить;скольжение;ошибка
darkness,[dɑːk],темнота
noise,[nɔɪz],шум
war,[wɔː(r)],война;военный
hole,[həʊl],отверстие;астр)дыра
perfect,[ˈpɜːfɪkt],улучшать;отличный
twenty,[ˈtwenti],двадцать;двадцати
whatever,[wɒtˈevə(r)],все;что;независимо от того;какой
longer,[lɒŋ],дольше;более длинный
path,[pɑːθ],путь;инф)маршрут
nature,[ˈneɪtʃə(r)],природа;характер
attention,[əˈtenʃn],внимание
complete,[kəmˈpliːt],завершать;полный
wand,[wɒnd],палочка
mention,[ˈmenʃn],упоминать;ссылка
office,[ˈɒfɪs],офис;офисный
stair,[steə(r)],ступенька
escape,[ɪˈskeɪp],избегать;переход
ahead,[əˈhed],вперед;впереди
finish,[ˈfɪnɪʃ],завершать;заканчивать;конец
bag,[bæɡ],мешок;мультимножество
thick,[θɪk],толстый;плотный;густой
cause,[kɔːz],вызывать;заставлять;причина;процесс;дело
bow,[baʊ],кланяться;подчиняться;поклон;лук
vim,[vɪm],прыть
need,[niːd],необходимость;нужно
ah,[ɑː],ах
direction,[dəˈrekʃn],направление;руководство
field,[fiːld],область
neck,[nek],шея
plain,[pleɪn],равнина;простой;гладкий
key,[kiː],ключ;инф)клавиша;ключевой
mile,[maɪl],миля
press,[pres],нажимать;пресса;инф)нажатие;корреспондентский
allow,[əˈlaʊ],допускать;позволять
gentle,[ˈdʒentl],мягкий
daughter,[ˈdɔːtə(r)],дочь;дочерний
dwarf,[dwɔːf],карлик
particular,[pəˈtɪkjələ(r)],конкретный;в частности
six,[sɪks],шесть;шести
bar,[bɑː(r)],преграждать;бар;полоса;инф)зона;брусок;адвокатура;суд
pale,[peɪl],бледный
smell,[smel],пахнуть;чувствовать запах;запах;обоняние
moon,[muːn],луна;лунный
nose,[nəʊz],выискивать;нос;носовой
sharp,[ʃɑːp],точно;острый
ancient,[ˈeɪnʃənt],древний;старинный
anyway,[ˈeniweɪ],во всяком случае
evil,[ˈiːvl],зло;злой
faint,[feɪnt],слабый
act,[ækt],действовать;действие
silver,[ˈsɪlvə(r)],серебро;серебряный
mere,[mɪə(r)],просто;простой
yard,[jɑːd],ярд
bird,[bɜːd],птица
visit,[ˈvɪzɪt],посещать;визит
note,[nəʊt],иметь в виду;примечание
stuff,[stʌf],набивать;материал
month,[mʌnθ],месяц;месячный
nice,[naɪs],мило;хороший
scream,[skriːm],кричать;крик
subject,[ˈsʌbdʒɪkt],в зависимости от
west,[west],запад;западный;на западе
lean,[liːn],сгибать;наклоняться;прислоняться;тощий
somewhere,[ˈsʌmweə(r)],где-нибудь;куда-нибудь
horror,[ˈhɒrə(r)],ужас;ужасный
knock,[nɒk],стучать;ударять;стук;удар
potter,[ˈpɒt.ər],гончар
explain,[ɪkˈspleɪn],объяснять
reply,[rɪˈplaɪ],отвечать;ответ
common,[ˈkɒmən],общий
straight,[streɪt],прямо;сразу;прямой
game,[ɡeɪm],игра
pause,[pɔːz],останавливаться;пауза
pippin,[-],пепин
golden,[ˈɡəʊl.dən],золотой;золотистый
consider,[kənˈsɪdə(r)],рассматривать;считать;решать
trust,[trʌst],верить;доверие;экон)траст
beautiful,[ˈbjuːtɪfl],красивый
further,[ˈfɜːðə(r)],продвигать;дальше;дальнейший
mad,[mæd],сумасшедший;безумный
soul,[səʊl],душа
party,[ˈpɑːti],партия;конт)экон)транс)сторона;встр)вечеринка
queen,[kwiːn],королева;королевский
